pages_viewed,session_minutes,products_viewed,cart_additions,discount_seen,previous_orders,target
27,24.79,3,5,3,5,0
54,13.29,2,5,2,5,1
45,2.0,5,2,2,1,1
50,50.66,5,6,3,3,0
34,43.77,2,3,3,1,1
41,27.62,6,2,6,3,1
41,28.28,4,1,5,2,1
38,13.41,2,5,2,3,0
48,42.15,2,3,2,4,1
40,93.87,3,3,5,1,1
51,21.97,4,2,1,2,0
36,40.17,2,1,1,1,0
48,28.22,2,0,2,2,0
26,57.49,1,1,2,5,0
39,55.27,4,3,3,3,1
27,57.22,4,4,5,5,0
39,15.28,1,3,3,1,0
49,48.8,4,5,5,9,1
30,55.21,1,7,3,0,0
19,4.82,6,1,6,2,1
58,70.37,2,3,2,1,0
58,31.79,7,4,5,3,1
58,28.79,5,7,3,3,1
43,67.59,5,4,1,2,1
21,14.41,2,0,5,2,1
29,42.55,3,2,3,2,0
62,39.28,4,5,1,0,1
33,11.8,3,4,5,2,0
34,35.24,2,2,3,1,1
47,2.0,5,3,1,3,0
27,43.01,4,5,2,1,0
43,68.11,3,5,2,3,0
26,44.21,2,5,4,4,1
21,43.76,2,3,2,3,0
43,34.97,5,2,4,3,1
61,6.33,0,4,4,4,1
31,30.48,4,6,4,3,1
47,62.94,1,3,5,4,1
22,31.77,3,3,3,0,1
30,17.17,3,1,1,1,1
63,2.0,3,3,2,3,1
52,16.71,6,2,2,3,1
18,76.28,0,4,3,1,0
44,38.25,0,1,4,1,1
50,26.85,6,0,3,0,1
60,41.71,4,2,3,5,1
64,48.34,4,1,6,0,1
23,74.5,2,0,6,0,1
32,36.06,1,2,2,6,0
49,59.34,2,3,1,4,0
60,41.44,4,2,4,2,1
40,18.39,1,6,4,2,0
21,54.0,3,5,3,5,0
21,41.56,3,3,4,3,1
51,9.59,4,3,0,3,0
28,66.45,7,6,2,3,1
38,43.58,5,2,4,2,1
50,11.64,4,2,4,1,1
38,39.26,0,3,3,3,0
38,23.37,3,5,4,3,0
43,6.94,3,5,3,2,1
47,19.56,2,0,2,0,1
47,2.0,2,3,7,4,1
53,44.55,4,1,7,1,1
22,47.13,5,3,3,1,1
61,56.07,2,4,2,6,0
49,50.57,0,7,3,2,0
52,28.53,5,2,2,1,1
62,77.32,3,3,4,2,1
60,32.34,6,3,2,6,0
44,66.92,2,4,3,4,0
31,34.02,4,0,1,1,1
48,2.0,2,3,1,2,0
30,57.14,5,3,3,3,0
36,36.2,4,3,4,6,0
62,22.83,7,2,2,2,1
61,30.3,2,4,3,4,1
24,2.0,3,2,3,3,1
58,41.53,3,2,3,3,1
18,38.35,3,2,1,3,0
29,27.41,4,3,5,5,0
61,65.58,3,0,0,2,1
64,3.85,3,3,5,2,1
63,78.36,3,4,5,3,1
19,54.09,2,5,1,3,0
39,45.8,3,4,2,2,0
24,24.44,2,1,2,3,0
31,24.94,3,1,3,3,1
32,31.13,2,4,1,2,0
23,45.73,5,2,2,1,0
65,25.52,4,3,3,1,1
32,23.22,2,3,3,5,1
19,79.91,1,2,2,3,0
31,55.71,4,4,2,3,1
19,60.9,3,4,0,5,0
39,16.52,3,5,4,5,0
23,2.0,1,1,4,5,0
41,42.43,2,2,6,3,1
28,19.31,3,8,4,5,1
52,67.22,4,0,4,3,0
31,25.33,3,4,3,5,0
59,54.13,4,7,0,6,0
41,32.67,5,3,4,5,0
37,43.89,2,2,2,2,0
18,18.1,4,2,6,3,0
56,2.0,3,2,2,3,1
47,80.17,3,4,1,3,1
47,22.53,5,4,3,1,1
19,22.89,3,1,6,1,1
65,63.5,4,4,0,6,0
57,48.67,2,2,3,4,0
48,35.01,6,0,3,2,1
42,27.11,2,2,1,3,0
26,49.25,4,3,0,2,0
39,40.94,2,1,3,2,1
26,30.29,3,3,2,5,0
49,37.68,1,1,1,3,0
25,48.7,3,3,6,3,1
47,44.32,4,4,6,5,1
19,39.44,2,1,2,0,0
59,35.64,4,2,2,3,1
29,60.88,4,2,1,3,0
55,22.91,1,5,3,4,1
24,54.99,3,0,3,3,0
52,22.39,5,2,5,2,1
43,60.87,2,3,1,4,0
32,60.12,3,3,1,2,0
57,26.64,8,4,1,3,1
40,46.67,3,5,2,2,1
40,24.62,1,3,5,3,0
41,35.84,0,4,0,3,1
42,15.15,2,7,3,5,1
26,50.27,4,2,1,2,0
54,68.53,2,3,3,1,0
26,21.64,5,4,4,3,1
61,28.25,0,4,1,7,0
38,30.97,6,3,4,2,1
30,17.24,5,1,5,4,0
42,23.43,3,5,1,5,0
20,48.0,4,4,1,0,0
22,66.51,3,0,5,2,1
57,2.0,0,3,4,2,1
49,5.51,4,3,5,3,1
56,28.03,1,1,2,5,1
36,10.14,6,6,2,6,0
44,35.38,6,7,6,2,1
62,44.83,3,5,1,1,1
43,5.3,4,2,3,5,1
53,48.92,1,5,5,2,1
64,37.72,2,1,3,2,1
33,42.48,2,4,2,3,0
22,21.31,1,2,6,0,1
48,2.0,2,3,4,2,0
50,60.8,5,2,4,4,0
28,34.76,2,3,2,4,1
24,57.17,2,3,3,2,0
26,42.69,5,2,1,8,0
18,55.21,4,2,2,1,1
61,31.21,5,4,4,5,1
58,32.97,4,3,5,4,1
60,66.21,2,1,3,1,1
36,36.62,2,4,2,1,0
65,42.42,1,5,5,2,1
36,44.75,1,2,0,6,0
47,49.69,1,2,4,5,0
24,37.75,1,2,3,3,0
19,27.04,2,5,0,3,0
61,10.09,3,3,4,6,1
63,82.57,2,4,2,2,1
37,25.39,2,2,4,4,0
38,40.9,5,3,5,5,1
38,36.29,2,1,3,2,1
31,43.45,2,4,1,1,0
65,35.35,4,2,1,4,1
58,7.36,4,3,0,0,1
32,26.37,3,1,5,2,1
51,26.09,4,3,5,4,1
27,69.64,2,4,3,2,0
41,37.08,5,1,4,3,1
24,48.35,4,4,4,6,0
65,18.35,3,3,2,7,0
22,43.87,4,1,2,3,0
60,41.49,6,2,3,2,1
65,16.2,2,1,3,5,1
65,59.42,3,4,1,2,1
44,2.0,5,4,7,4,1
60,2.0,2,4,1,2,1
55,30.85,1,3,5,2,1
43,27.46,3,6,0,4,0
18,50.07,3,3,3,0,0
41,32.74,3,0,1,4,0
41,12.76,2,3,3,4,1
36,41.11,4,2,1,3,0
59,48.14,0,2,1,6,0
49,43.24,1,5,3,6,0
49,40.29,5,1,1,5,0
33,23.43,7,5,3,0,1
61,17.69,0,3,2,2,0
41,46.81,3,2,2,2,0
59,38.85,2,2,4,2,0
25,48.19,3,1,3,2,1
19,42.42,2,4,4,3,1
49,43.91,8,5,3,0,1
25,53.61,4,3,2,4,0
64,35.46,3,1,1,6,0
35,55.91,5,2,5,2,1
39,12.45,3,0,1,1,0
57,51.02,2,3,4,3,1
61,38.19,4,1,2,4,1
29,20.76,4,1,1,2,0
20,71.03,0,1,4,2,1
54,43.86,0,5,4,2,0
25,22.41,6,3,3,2,1
46,39.5,2,5,4,2,0
56,63.16,1,4,0,2,0
58,60.24,2,4,3,2,0
62,22.76,5,4,3,0,1
23,41.38,3,6,4,5,0
21,28.49,1,1,2,3,1
25,21.61,1,2,5,1,0
57,18.89,5,3,2,3,1
55,36.14,2,7,2,3,1
33,20.8,1,2,1,3,0
41,23.15,2,5,2,2,1
27,39.48,3,3,1,6,0
57,43.91,3,2,7,3,1
40,52.96,2,2,0,1,0
21,61.84,1,1,4,2,1
54,68.14,2,4,4,3,1
35,10.24,3,1,4,2,1
43,2.0,2,0,2,0,1
60,27.17,1,3,6,0,0
40,15.2,1,6,2,2,0
42,2.0,4,1,0,6,1
26,20.24,5,4,2,1,0
35,15.06,3,0,6,2,1
24,28.63,7,3,2,0,1
62,28.8,3,2,2,2,0
61,28.59,3,2,1,5,1
27,41.86,3,4,0,4,0
62,47.72,1,3,3,1,0
24,50.55,1,4,3,4,0
58,56.75,6,5,2,1,1
